name,full_name,stars,forks,watchers,commits,forks_url,watchers_url,created_at,open_issues,size,age,language_Astro,language_Blade,language_C,language_C#,language_C++,language_CSS,language_Dart,language_Elixir,language_Elm,language_Emacs Lisp,language_F#,language_GLSL,language_Go,language_HCL,language_HTML,language_Haskell,language_Java,language_JavaScript,language_Julia,language_Jupyter Notebook,language_Kotlin,language_Lua,language_MATLAB,language_Makefile,language_Markdown,language_Mermaid,language_Objective-C,language_PHP,language_PLpgSQL,language_Perl,language_Pug,language_PureScript,language_Python,language_R,language_Roff,language_Ruby,language_Rust,language_SCSS,language_Scala,language_ShaderLab,language_Shell,language_Solidity,language_Svelte,language_Swift,language_TeX,language_TypeScript,language_VHDL,language_Vim Script,language_Vim script,language_VimL,language_Vue,language_YARA
fdupes,adrianlopezroche/fdupes,2000,170,2000,https://api.github.com/repos/adrianlopezroche/fdupes/commits{/sha},https://api.github.com/repos/adrianlopezroche/fdupes/forks,https://api.github.com/repos/adrianlopezroche/fdupes/subscribers,2014-05-15 09:00:19+00:00,94,464,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Face-Depixelizer,tg-bomze/Face-Depixelizer,2000,253,2000,https://api.github.com/repos/tg-bomze/Face-Depixelizer/commits{/sha},https://api.github.com/repos/tg-bomze/Face-Depixelizer/forks,https://api.github.com/repos/tg-bomze/Face-Depixelizer/subscribers,2020-06-19 19:35:11+00:00,8,9545,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Authenticator,Authenticator-Extension/Authenticator,2000,564,2000,https://api.github.com/repos/Authenticator-Extension/Authenticator/commits{/sha},https://api.github.com/repos/Authenticator-Extension/Authenticator/forks,https://api.github.com/repos/Authenticator-Extension/Authenticator/subscribers,2018-02-17 17:32:20+00:00,77,8908,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OffensiveRust,trickster0/OffensiveRust,2000,218,2000,https://api.github.com/repos/trickster0/OffensiveRust/commits{/sha},https://api.github.com/repos/trickster0/OffensiveRust/forks,https://api.github.com/repos/trickster0/OffensiveRust/subscribers,2019-05-07 23:12:20+00:00,1,11512,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fetch,whatwg/fetch,2000,382,2000,https://api.github.com/repos/whatwg/fetch/commits{/sha},https://api.github.com/repos/whatwg/fetch/forks,https://api.github.com/repos/whatwg/fetch/subscribers,2012-09-12 08:39:20+00:00,236,7957,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
searchable,nicolaslopezj/searchable,2000,289,2000,https://api.github.com/repos/nicolaslopezj/searchable/commits{/sha},https://api.github.com/repos/nicolaslopezj/searchable/forks,https://api.github.com/repos/nicolaslopezj/searchable/subscribers,2014-06-17 05:53:45+00:00,106,116,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Embed,oscarotero/Embed,2000,302,2000,https://api.github.com/repos/oscarotero/Embed/commits{/sha},https://api.github.com/repos/oscarotero/Embed/forks,https://api.github.com/repos/oscarotero/Embed/subscribers,2012-10-09 21:14:58+00:00,58,12815,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirikiroid2,zeas2/Kirikiroid2,2000,193,2000,https://api.github.com/repos/zeas2/Kirikiroid2/commits{/sha},https://api.github.com/repos/zeas2/Kirikiroid2/forks,https://api.github.com/repos/zeas2/Kirikiroid2/subscribers,2016-12-24 13:26:25+00:00,113,2036,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awesome-System-for-Machine-Learning,HuaizhengZhang/Awesome-System-for-Machine-Learning,2000,272,2000,https://api.github.com/repos/HuaizhengZhang/Awesome-System-for-Machine-Learning/commits{/sha},https://api.github.com/repos/HuaizhengZhang/Awesome-System-for-Machine-Learning/forks,https://api.github.com/repos/HuaizhengZhang/Awesome-System-for-Machine-Learning/subscribers,2019-01-07 12:59:19+00:00,12,926,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
writings,kimjoar/writings,2000,125,2000,https://api.github.com/repos/kimjoar/writings/commits{/sha},https://api.github.com/repos/kimjoar/writings/forks,https://api.github.com/repos/kimjoar/writings/subscribers,2012-04-26 11:25:21+00:00,4,288,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
