name,full_name,stars,forks,watchers,commits,forks_url,watchers_url,created_at,open_issues,size,age,language_Assembly,language_C,language_C#,language_C++,language_CSS,language_Classic ASP,language_Clojure,language_CoffeeScript,language_Common Lisp,language_DIGITAL Command Language,language_Dart,language_Elixir,language_Emacs Lisp,language_GDScript,language_Go,language_Groovy,language_HLSL,language_HTML,language_Handlebars,language_IDL,language_JSON,language_Java,language_JavaScript,language_Julia,language_Jupyter Notebook,language_Kotlin,language_LLVM,language_Lua,language_Mercury,language_Objective-C,language_PHP,language_PowerShell,language_Pug,language_Python,language_Rich Text Format,language_Ruby,language_Rust,language_SCSS,language_SVG,language_Scala,language_Scheme,language_ShaderLab,language_Shell,language_Swift,language_TeX,language_TypeScript,language_Vala,language_Vim Script,language_Vim Snippet,language_Vim script,language_Vue
serving,knative/serving,5000,1033,5000,https://api.github.com/repos/knative/serving/commits{/sha},https://api.github.com/repos/knative/serving/forks,https://api.github.com/repos/knative/serving/subscribers,2018-01-24 22:07:44+00:00,183,86561,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
share_ppt,rfyiamcool/share_ppt,5000,904,5000,https://api.github.com/repos/rfyiamcool/share_ppt/commits{/sha},https://api.github.com/repos/rfyiamcool/share_ppt/forks,https://api.github.com/repos/rfyiamcool/share_ppt/subscribers,2017-08-04 09:24:08+00:00,3,146665,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdfcpu,pdfcpu/pdfcpu,5000,354,5000,https://api.github.com/repos/pdfcpu/pdfcpu/commits{/sha},https://api.github.com/repos/pdfcpu/pdfcpu/forks,https://api.github.com/repos/pdfcpu/pdfcpu/subscribers,2017-06-18 17:27:38+00:00,71,462183,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instructions,ephread/Instructions,5000,459,5000,https://api.github.com/repos/ephread/Instructions/commits{/sha},https://api.github.com/repos/ephread/Instructions/forks,https://api.github.com/repos/ephread/Instructions/subscribers,2015-10-01 11:24:42+00:00,8,10975,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
low-level-design-primer,prasadgujar/low-level-design-primer,4999,1835,4999,https://api.github.com/repos/prasadgujar/low-level-design-primer/commits{/sha},https://api.github.com/repos/prasadgujar/low-level-design-primer/forks,https://api.github.com/repos/prasadgujar/low-level-design-primer/subscribers,2020-08-03 19:59:05+00:00,19,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gorgonia,gorgonia/gorgonia,4999,414,4999,https://api.github.com/repos/gorgonia/gorgonia/commits{/sha},https://api.github.com/repos/gorgonia/gorgonia/forks,https://api.github.com/repos/gorgonia/gorgonia/subscribers,2016-09-14 23:19:43+00:00,101,92337,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gocode,nsf/gocode,4999,682,4999,https://api.github.com/repos/nsf/gocode/commits{/sha},https://api.github.com/repos/nsf/gocode/forks,https://api.github.com/repos/nsf/gocode/subscribers,2010-07-05 00:13:16+00:00,66,1479,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpringBootVulExploit,LandGrey/SpringBootVulExploit,4998,1219,4998,https://api.github.com/repos/LandGrey/SpringBootVulExploit/commits{/sha},https://api.github.com/repos/LandGrey/SpringBootVulExploit/forks,https://api.github.com/repos/LandGrey/SpringBootVulExploit/subscribers,2020-05-20 09:18:44+00:00,4,135,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QASystemOnMedicalKG,liuhuanyong/QASystemOnMedicalKG,4998,1893,4998,https://api.github.com/repos/liuhuanyong/QASystemOnMedicalKG/commits{/sha},https://api.github.com/repos/liuhuanyong/QASystemOnMedicalKG/forks,https://api.github.com/repos/liuhuanyong/QASystemOnMedicalKG/subscribers,2018-10-04 06:34:36+00:00,59,17735,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
git-style-guide,agis/git-style-guide,4998,428,4998,https://api.github.com/repos/agis/git-style-guide/commits{/sha},https://api.github.com/repos/agis/git-style-guide/forks,https://api.github.com/repos/agis/git-style-guide/subscribers,2015-03-29 20:25:23+00:00,0,85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dialogplus,orhanobut/dialogplus,4998,808,4998,https://api.github.com/repos/orhanobut/dialogplus/commits{/sha},https://api.github.com/repos/orhanobut/dialogplus/forks,https://api.github.com/repos/orhanobut/dialogplus/subscribers,2014-12-12 09:24:44+00:00,54,6790,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epoch,epochjs/epoch,4997,295,4997,https://api.github.com/repos/epochjs/epoch/commits{/sha},https://api.github.com/repos/epochjs/epoch/forks,https://api.github.com/repos/epochjs/epoch/subscribers,2013-06-27 23:04:32+00:00,71,2131,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simditor,mycolorway/simditor,4997,832,4997,https://api.github.com/repos/mycolorway/simditor/commits{/sha},https://api.github.com/repos/mycolorway/simditor/forks,https://api.github.com/repos/mycolorway/simditor/subscribers,2014-01-10 03:54:08+00:00,33,6146,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiktoken,openai/tiktoken,4996,300,4996,https://api.github.com/repos/openai/tiktoken/commits{/sha},https://api.github.com/repos/openai/tiktoken/forks,https://api.github.com/repos/openai/tiktoken/subscribers,2022-12-01 23:22:11+00:00,28,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grin,mimblewimble/grin,4996,1012,4996,https://api.github.com/repos/mimblewimble/grin/commits{/sha},https://api.github.com/repos/mimblewimble/grin/forks,https://api.github.com/repos/mimblewimble/grin/subscribers,2016-10-21 00:02:23+00:00,124,23346,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hashids,vinkla/hashids,4996,413,4996,https://api.github.com/repos/vinkla/hashids/commits{/sha},https://api.github.com/repos/vinkla/hashids/forks,https://api.github.com/repos/vinkla/hashids/subscribers,2012-04-14 18:24:45+00:00,0,300,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOLOv6,meituan/YOLOv6,4995,890,4995,https://api.github.com/repos/meituan/YOLOv6/commits{/sha},https://api.github.com/repos/meituan/YOLOv6/forks,https://api.github.com/repos/meituan/YOLOv6/subscribers,2022-06-08 02:44:22+00:00,129,47485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blendid,vigetlabs/blendid,4994,713,4994,https://api.github.com/repos/vigetlabs/blendid/commits{/sha},https://api.github.com/repos/vigetlabs/blendid/forks,https://api.github.com/repos/vigetlabs/blendid/subscribers,2014-01-11 00:37:46+00:00,73,2897,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deployd,deployd/deployd,4993,683,4993,https://api.github.com/repos/deployd/deployd/commits{/sha},https://api.github.com/repos/deployd/deployd/forks,https://api.github.com/repos/deployd/deployd/subscribers,2011-09-11 21:58:04+00:00,135,10281,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bitcoinjs-lib,bitcoinjs/bitcoinjs-lib,4993,1964,4993,https://api.github.com/repos/bitcoinjs/bitcoinjs-lib/commits{/sha},https://api.github.com/repos/bitcoinjs/bitcoinjs-lib/forks,https://api.github.com/repos/bitcoinjs/bitcoinjs-lib/subscribers,2011-05-04 16:03:45+00:00,55,5679,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
open-color,yeun/open-color,4992,237,4992,https://api.github.com/repos/yeun/open-color/commits{/sha},https://api.github.com/repos/yeun/open-color/forks,https://api.github.com/repos/yeun/open-color/subscribers,2016-08-06 16:10:41+00:00,21,506,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angularjs-style-guide,mgechev/angularjs-style-guide,4992,667,4992,https://api.github.com/repos/mgechev/angularjs-style-guide/commits{/sha},https://api.github.com/repos/mgechev/angularjs-style-guide/forks,https://api.github.com/repos/mgechev/angularjs-style-guide/subscribers,2013-10-06 13:06:44+00:00,4,1028,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newbee-mall-vue3-app,newbee-ltd/newbee-mall-vue3-app,4991,1310,4991,https://api.github.com/repos/newbee-ltd/newbee-mall-vue3-app/commits{/sha},https://api.github.com/repos/newbee-ltd/newbee-mall-vue3-app/forks,https://api.github.com/repos/newbee-ltd/newbee-mall-vue3-app/subscribers,2020-10-18 15:26:51+00:00,3,2560,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
balloon.css,kazzkiq/balloon.css,4991,467,4991,https://api.github.com/repos/kazzkiq/balloon.css/commits{/sha},https://api.github.com/repos/kazzkiq/balloon.css/forks,https://api.github.com/repos/kazzkiq/balloon.css/subscribers,2016-03-01 17:52:58+00:00,22,1160,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infosec_Reference,rmusser01/Infosec_Reference,4990,1159,4990,https://api.github.com/repos/rmusser01/Infosec_Reference/commits{/sha},https://api.github.com/repos/rmusser01/Infosec_Reference/forks,https://api.github.com/repos/rmusser01/Infosec_Reference/subscribers,2014-09-13 00:08:18+00:00,3,15553,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring-mvc-showcase,spring-attic/spring-mvc-showcase,4989,3774,4989,https://api.github.com/repos/spring-attic/spring-mvc-showcase/commits{/sha},https://api.github.com/repos/spring-attic/spring-mvc-showcase/forks,https://api.github.com/repos/spring-attic/spring-mvc-showcase/subscribers,2011-06-03 15:36:55+00:00,14,765,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyfolio,quantopian/pyfolio,4988,1592,4988,https://api.github.com/repos/quantopian/pyfolio/commits{/sha},https://api.github.com/repos/quantopian/pyfolio/forks,https://api.github.com/repos/quantopian/pyfolio/subscribers,2015-06-01 15:31:39+00:00,152,87861,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
williamchart,diogobernardino/williamchart,4988,800,4988,https://api.github.com/repos/diogobernardino/williamchart/commits{/sha},https://api.github.com/repos/diogobernardino/williamchart/forks,https://api.github.com/repos/diogobernardino/williamchart/subscribers,2014-08-03 09:47:45+00:00,30,1026,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autosize,jackmoore/autosize,4988,727,4988,https://api.github.com/repos/jackmoore/autosize/commits{/sha},https://api.github.com/repos/jackmoore/autosize/forks,https://api.github.com/repos/jackmoore/autosize/subscribers,2011-11-06 19:21:21+00:00,22,312,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
have-fun-with-machine-learning,humphd/have-fun-with-machine-learning,4988,550,4988,https://api.github.com/repos/humphd/have-fun-with-machine-learning/commits{/sha},https://api.github.com/repos/humphd/have-fun-with-machine-learning/forks,https://api.github.com/repos/humphd/have-fun-with-machine-learning/subscribers,2016-12-29 17:43:50+00:00,8,7878,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thegreatsuspender,greatsuspender/thegreatsuspender,4987,891,4987,https://api.github.com/repos/greatsuspender/thegreatsuspender/commits{/sha},https://api.github.com/repos/greatsuspender/thegreatsuspender/forks,https://api.github.com/repos/greatsuspender/thegreatsuspender/subscribers,2012-09-12 00:41:30+00:00,391,7330,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rspec-rails,rspec/rspec-rails,4987,1000,4987,https://api.github.com/repos/rspec/rspec-rails/commits{/sha},https://api.github.com/repos/rspec/rspec-rails/forks,https://api.github.com/repos/rspec/rspec-rails/subscribers,2009-12-23 16:40:53+00:00,43,4650,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phpinsights,nunomaduro/phpinsights,4987,275,4987,https://api.github.com/repos/nunomaduro/phpinsights/commits{/sha},https://api.github.com/repos/nunomaduro/phpinsights/forks,https://api.github.com/repos/nunomaduro/phpinsights/subscribers,2019-03-31 15:04:36+00:00,55,13480,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thor,rails/thor,4987,554,4987,https://api.github.com/repos/rails/thor/commits{/sha},https://api.github.com/repos/rails/thor/forks,https://api.github.com/repos/rails/thor/subscribers,2008-05-07 20:07:31+00:00,146,2858,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
