name,full_name,stars,forks,watchers,commits,forks_url,watchers_url,created_at,open_issues,size,age,language_ActionScript,language_Assembly,language_Awk,language_Batchfile,language_C,language_C#,language_C++,language_CSS,language_Clojure,language_CodeQL,language_CoffeeScript,language_Common Lisp,language_Cuda,language_Dart,language_Dockerfile,language_Emacs Lisp,language_Erlang,language_Go,language_Groovy,language_HTML,language_Hack,language_Handlebars,language_Java,language_JavaScript,language_Jsonnet,language_Jupyter Notebook,language_Kotlin,language_Less,language_Lua,language_MATLAB,language_Makefile,language_NSIS,language_Nunjucks,language_OCaml,language_Objective-C,language_PHP,language_PLpgSQL,language_Perl,language_PowerShell,language_Python,language_Ruby,language_Rust,language_SCSS,language_Scala,language_Scheme,language_Shell,language_Swift,language_TypeScript,language_Vim Script,language_Vim script,language_VimL,language_Vue,language_WebAssembly,language_Wren
easings.net,ai/easings.net,7000,647,7000,https://api.github.com/repos/ai/easings.net/commits{/sha},https://api.github.com/repos/ai/easings.net/forks,https://api.github.com/repos/ai/easings.net/subscribers,2012-03-22 10:27:18+00:00,17,1712,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dns,miekg/dns,6999,1083,6999,https://api.github.com/repos/miekg/dns/commits{/sha},https://api.github.com/repos/miekg/dns/forks,https://api.github.com/repos/miekg/dns/subscribers,2010-08-03 21:56:23+00:00,21,17113,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devops-resources,bregman-arie/devops-resources,6998,1670,6998,https://api.github.com/repos/bregman-arie/devops-resources/commits{/sha},https://api.github.com/repos/bregman-arie/devops-resources/forks,https://api.github.com/repos/bregman-arie/devops-resources/subscribers,2019-01-07 10:56:37+00:00,13,1822,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Empire,EmpireProject/Empire,6997,2716,6997,https://api.github.com/repos/EmpireProject/Empire/commits{/sha},https://api.github.com/repos/EmpireProject/Empire/forks,https://api.github.com/repos/EmpireProject/Empire/subscribers,2015-08-05 18:25:57+00:00,101,22502,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
material-shell,material-shell/material-shell,6997,184,6997,https://api.github.com/repos/material-shell/material-shell/commits{/sha},https://api.github.com/repos/material-shell/material-shell/forks,https://api.github.com/repos/material-shell/material-shell/subscribers,2019-05-02 11:48:15+00:00,261,67199,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
semi-design,DouyinFE/semi-design,6996,560,6996,https://api.github.com/repos/DouyinFE/semi-design/commits{/sha},https://api.github.com/repos/DouyinFE/semi-design/forks,https://api.github.com/repos/DouyinFE/semi-design/subscribers,2021-10-25 11:47:38+00:00,154,22183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100days,coells/100days,6995,1051,6995,https://api.github.com/repos/coells/100days/commits{/sha},https://api.github.com/repos/coells/100days/forks,https://api.github.com/repos/coells/100days/subscribers,2017-03-24 17:41:14+00:00,2,7410,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
css-loaders,lukehaas/css-loaders,6994,1063,6994,https://api.github.com/repos/lukehaas/css-loaders/commits{/sha},https://api.github.com/repos/lukehaas/css-loaders/forks,https://api.github.com/repos/lukehaas/css-loaders/subscribers,2014-05-06 20:58:53+00:00,21,115,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proposal-pipeline-operator,tc39/proposal-pipeline-operator,6994,108,6994,https://api.github.com/repos/tc39/proposal-pipeline-operator/commits{/sha},https://api.github.com/repos/tc39/proposal-pipeline-operator/forks,https://api.github.com/repos/tc39/proposal-pipeline-operator/subscribers,2015-11-09 22:23:36+00:00,29,376,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kittenTricks,akveo/kittenTricks,6993,1015,6993,https://api.github.com/repos/akveo/kittenTricks/commits{/sha},https://api.github.com/repos/akveo/kittenTricks/forks,https://api.github.com/repos/akveo/kittenTricks/subscribers,2017-06-28 09:29:12+00:00,20,107768,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
