stars,forks,watchers,open_issues,size,created_at,updated_at,name,full_name,commits,forks_url,watchers_url,language_AsciiDoc,language_Assembly,language_Batchfile,language_C,language_C#,language_C++,language_CSS,language_Clojure,language_Dart,language_Dockerfile,language_Elixir,language_Emacs Lisp,language_Go,language_HTML,language_Haskell,language_Java,language_JavaScript,language_Jinja,language_Julia,language_Jupyter Notebook,language_Kotlin,language_Lua,language_Makefile,language_Markdown,language_Nunjucks,language_OCaml,language_Objective-C,language_PHP,language_Python,language_Roff,language_Ruby,language_Rust,language_SCSS,language_Scala,language_Shell,language_Svelte,language_Swift,language_TeX,language_TypeScript,language_V,language_Vim Script,language_Vim script,language_Vue,language_Zig
367465,32218,367465,222,400193,2014,2023,freeCodeCamp,freeCodeCamp/freeCodeCamp,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/commits{/sha},https://api.github.com/repos/freeCodeCamp/freeCodeCamp/forks,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
280773,55425,280773,43,16794,2013,2023,free-programming-books,EbookFoundation/free-programming-books,https://api.github.com/repos/EbookFoundation/free-programming-books/commits{/sha},https://api.github.com/repos/EbookFoundation/free-programming-books/forks,https://api.github.com/repos/EbookFoundation/free-programming-books/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
265935,21409,265935,16732,188163,2019,2023,996.ICU,996icu/996.ICU,https://api.github.com/repos/996icu/996.ICU/commits{/sha},https://api.github.com/repos/996icu/996.ICU/forks,https://api.github.com/repos/996icu/996.ICU/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
258221,67828,258221,56,20576,2016,2023,coding-interview-university,jwasham/coding-interview-university,https://api.github.com/repos/jwasham/coding-interview-university/commits{/sha},https://api.github.com/repos/jwasham/coding-interview-university/forks,https://api.github.com/repos/jwasham/coding-interview-university/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
255467,25815,255467,66,1461,2014,2023,awesome,sindresorhus/awesome,https://api.github.com/repos/sindresorhus/awesome/commits{/sha},https://api.github.com/repos/sindresorhus/awesome/forks,https://api.github.com/repos/sindresorhus/awesome/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
241131,27565,241131,173,4948,2016,2023,public-apis,public-apis/public-apis,https://api.github.com/repos/public-apis/public-apis/commits{/sha},https://api.github.com/repos/public-apis/public-apis/forks,https://api.github.com/repos/public-apis/public-apis/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
240473,33962,240473,418,1556084,2017,2023,developer-roadmap,kamranahmedse/developer-roadmap,https://api.github.com/repos/kamranahmedse/developer-roadmap/commits{/sha},https://api.github.com/repos/kamranahmedse/developer-roadmap/forks,https://api.github.com/repos/kamranahmedse/developer-roadmap/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
220937,39203,220937,382,11187,2017,2023,system-design-primer,donnemartin/system-design-primer,https://api.github.com/repos/donnemartin/system-design-primer/commits{/sha},https://api.github.com/repos/donnemartin/system-design-primer/forks,https://api.github.com/repos/donnemartin/system-design-primer/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
208035,43456,208035,1270,324088,2013,2023,react,facebook/react,https://api.github.com/repos/facebook/react/commits{/sha},https://api.github.com/repos/facebook/react/forks,https://api.github.com/repos/facebook/react/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
203766,33771,203766,637,31925,2013,2023,vue,vuejs/vue,https://api.github.com/repos/vuejs/vue/commits{/sha},https://api.github.com/repos/vuejs/vue/forks,https://api.github.com/repos/vuejs/vue/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
