stars,forks,watchers,open_issues,size
3000,263,3000,113,23788
3000,360,3000,5,4192
3000,473,3000,2,101
2999,792,2999,52,39379
2999,159,2999,21,28087
2999,367,2999,50,23
2999,1335,2999,9,328
2999,272,2999,1,784
2999,564,2999,0,72
2999,198,2999,45,12922
2998,193,2998,69,650
2998,430,2998,327,197231
2998,111,2998,12,4859
2998,549,2998,25,347
2998,16,2998,0,344
2998,1108,2998,399,35235
2998,372,2998,43,168
2998,206,2998,350,47600
2997,239,2997,25,744
2997,244,2997,21,4802
2997,519,2997,29,16676
2997,197,2997,24,11630
2996,78,2996,35,90
2996,163,2996,40,330
2996,527,2996,3,18792
2996,801,2996,141,151666
2996,124,2996,13,4345
2996,397,2996,71,8364
2995,652,2995,3,4307
2995,153,2995,4,194
2995,1160,2995,101,17912
2995,164,2995,10,3014
2995,383,2995,11,812
2995,927,2995,233,3092
2994,1470,2994,15,9168
2994,283,2994,163,3929
2994,878,2994,59,7898
2993,208,2993,27,125
2993,216,2993,5,7110
2993,321,2993,32,10806
2992,268,2992,117,2342
2992,714,2992,5,1291
2992,451,2992,35,22664
2992,1389,2992,34,140
2992,1696,2992,0,223137
2992,884,2992,0,22211
2992,539,2992,13,2305
2992,557,2992,64,99143
2991,951,2991,49,1014
2991,1241,2991,48,718670
2990,655,2990,76,53412
2990,775,2990,80,213918
2990,1352,2990,118,480854
2989,221,2989,9,234
2989,510,2989,91,5409
2989,105,2989,4,492
2989,735,2989,172,13218
2989,546,2989,70,22489
2989,676,2989,9,270
2989,478,2989,155,37491
2989,776,2989,6,46786
2989,810,2989,102,48225
2988,622,2988,51,725
2988,291,2988,20,6742
2988,114,2988,27,6255
2987,563,2987,36,27554
2987,1290,2987,15,14107
2987,207,2987,16,849821
2987,676,2987,4,1327
2987,149,2987,4,1323
2987,299,2987,7,11140
2987,290,2987,77,127
2986,133,2986,14,235
2986,475,2986,20,2224
2986,6361,2986,60,1178
2986,108,2986,9,3899
2986,608,2986,17,18727
2985,439,2985,2,15811
2985,679,2985,347,76668
2984,599,2984,58,40950
2984,885,2984,12,2932
2984,181,2984,2,5300
2984,1019,2984,304,26159
2984,744,2984,50,220431
2984,466,2984,106,3502
2984,697,2984,25,3978
2984,510,2984,87,5576
2983,1157,2983,129,99960
2982,364,2982,134,50958
2982,882,2982,0,234
2982,418,2982,31,1617
2982,236,2982,52,931
2981,171,2981,6,5796
2981,256,2981,20,105802
2981,639,2981,130,3877
2981,231,2981,51,2757
2981,359,2981,49,5147
2981,162,2981,28,951
2981,543,2981,0,38898
2981,395,2981,161,22584
2981,702,2981,15,183608
2980,1095,2980,1,511
2980,537,2980,51,7406
2980,113,2980,119,51833
2980,684,2980,3,466
2980,152,2980,7,77
2980,906,2980,20,246
2980,722,2980,89,38028
2979,939,2979,1136,40784
2979,114,2979,21,3238
2979,105,2979,36,2393
2979,105,2979,22,6385
2979,582,2979,95,2249
2979,81,2979,24,744
2979,108,2979,45,480
2979,167,2979,43,842
2979,998,2979,74,147
2979,570,2979,5,191
2978,516,2978,14,527
2978,281,2978,181,6267
2978,110,2978,39,210693
2978,2384,2978,89,144220
2978,232,2978,2,1402
2978,53,2978,1026,23925
2977,155,2977,4,7107
2977,235,2977,4,1183
2977,245,2977,63,34898
2977,178,2977,2,158677
2976,602,2976,184,172554
2976,547,2976,29,3435
2976,227,2976,34,18516
2976,274,2976,76,3045
2976,498,2976,34,40960
2976,444,2976,186,58221
2976,288,2976,43,719
2976,508,2976,114,45
2975,195,2975,86,12635
2975,773,2975,14,14083
2975,425,2975,0,149
2975,237,2975,19,3586
2975,673,2975,282,5035
2975,330,2975,6,707
2975,324,2975,10,5651
2975,212,2975,47,328
2974,817,2974,99,4004
2974,1378,2974,614,9320
2974,1468,2974,61,252734
2974,439,2974,51,14063
2973,441,2973,24,4960
2973,331,2973,119,399
2973,121,2973,17,633
2973,613,2973,7,64437
2973,392,2973,37,1364
2973,105,2973,7,237
2973,582,2973,93,3916
2973,1017,2973,7,18246
2973,158,2973,2,544
2973,533,2973,148,20
2973,189,2973,179,3068
2972,20,2972,1,554
2972,920,2972,36,31456
2972,124,2972,4,22085
2972,575,2972,80,100355
2972,1047,2972,76,456
2972,717,2972,141,627
2971,99,2971,12,18308
2971,3338,2971,29,882
2971,425,2971,121,530884
2971,447,2971,29,43992
2970,222,2970,18,10967
2970,429,2970,1,3121
2969,183,2969,11,17592
2969,401,2969,811,63451
2968,261,2968,38,38488
2968,398,2968,41,1009
2968,359,2968,22,335
2968,422,2968,16,46664
2968,240,2968,35,377
2967,280,2967,6,136482
2967,267,2967,257,63097
2967,830,2967,94,1930
2967,208,2967,7,35
2966,90,2966,4,5735
2966,228,2966,230,11120
2966,405,2966,2,47042
2966,120,2966,117,8437
2965,224,2965,62,1077
2965,544,2965,35,621
2965,394,2965,137,3956
2965,952,2965,76,43814
2965,450,2965,1,691
2965,560,2965,87,72063
2965,262,2965,36,1618
2965,489,2965,56,1758
2965,513,2965,4,60
2965,327,2965,582,5945
2964,362,2964,156,11727
2964,1139,2964,95,3697
2964,418,2964,40,221229
2964,431,2964,101,2191
2964,589,2964,15,174016
2964,611,2964,297,47313
2964,232,2964,5,8294
2964,720,2964,4,20573
2964,585,2964,68,0
2963,57,2963,33,868
2963,423,2963,178,50522
2963,928,2963,162,152579
2962,145,2962,102,19411
2962,207,2962,14,327
2962,373,2962,9,300518
2962,701,2962,11,569
2961,932,2961,35,50694
2961,181,2961,50,83575
2961,185,2961,56,116372
2961,1213,2961,36,114
2961,462,2961,3,43724
2960,215,2960,87,7609
2960,614,2960,39,221399
2960,501,2960,93,2272
2960,494,2960,133,740
2960,460,2960,1,219
2959,339,2959,77,1214
2959,369,2959,160,96656
2959,403,2959,207,822040
2959,1444,2959,64,11303
2959,95,2959,14,82
2959,243,2959,1,11162
2959,507,2959,35,29181
2958,354,2958,14,3055
2958,1212,2958,8,10317
2958,156,2958,0,873
2958,338,2958,16,841
2958,67,2958,10,1740
2958,216,2958,169,21902
2957,835,2957,72,782
2957,603,2957,20,14308
2957,168,2957,16,592
2957,209,2957,0,9977
2957,270,2957,12,557
2957,524,2957,21,415
2957,110,2957,233,15357
2957,72,2957,6,249
2957,1143,2957,119,342
2956,237,2956,59,20924
2956,410,2956,10,793
2956,400,2956,32,1706218
2955,679,2955,117,153803
2955,434,2955,79,276221
2955,240,2955,4,9539
2955,281,2955,75,18
2955,718,2955,95,3200
2954,188,2954,0,2062
2954,317,2954,135,157
2954,187,2954,52,5406
